First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Kyle,Gallagher,52,FO,2,0,0,0,0,0,1,0,1,1,1,,1,40,12,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jeff,Trainor,43,M,2,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
Tanner,Cook,77,M,2,2,1,1,0,1,3,0.3333333333333333,2,0.6666666666666666,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0
Ethan,Walker,57,M,4,12,3,3,0,9,12,0.25,8,0.6666666666666666,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
Conor,Gaffney,38,FO,1,0,0,0,0,0,0,0,0,0,0,,0,23,9,14,0.391304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ryan,Smith,43,A,4,7,6,6,0,1,10,0.6,7,0.7,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Peter,Dearth,54,SSDM,2,0,0,0,0,0,2,0,1,0.5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mac,O'Keefe,3,A,8,12,8,6,2,2,26,0.3076923076923077,16,0.6153846153846154,11,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0
Jake,Carraway,19,A,8,19,15,13,2,2,44,0.3409090909090909,24,0.5454545454545454,7,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,,0
Tre,Leclaire,44,A,5,6,6,6,0,0,14,0.42857142857142855,8,0.5714285714285714,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ryan,Terefenko,34,SSDM,8,7,2,2,0,5,8,0.25,7,0.875,1,,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
JT,Giles-Harris,,D,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Michael,Sowers,22,A,1,2,2,2,0,0,6,0.3333333333333333,5,0.8333333333333334,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jack,Jasinski,50,M,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Noah,Rak,29,FO,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Sam,Lucchesi,1,G,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Casey,Dowd,38,FO,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Michael,Brown,91,SSDM,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Frank,Brown,77,M,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Alex,Spring,92,LSM,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matt,Whitcher,33,SSDM,3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Austin,Kaut,19,G,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,73.84615384615384,1,0,78,0,0,0,0,0,0,,0
Greg,Weyl,57,D,8,1,1,1,0,0,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Justin,Pugal,55,D,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ryan,Beville,8,SSDM,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Chase,Levesque,34,LSM,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Shayne,Jackson,32,A,4,9,8,8,0,1,23,0.34782608695652173,20,0.8695652173913043,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
Scott,Hooper,20,D,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Luke,Anderson,31,SSDM,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Colin,Heacock,2,A,8,15,12,10,2,1,31,0.3870967741935484,18,0.5806451612903226,4,,3,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,2,0,0,,0
Nick,Washuta,19,G,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Nate,Solomon,3,A,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ben,Randall,44,D,6,0,0,0,0,0,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Bryan,Cole,55,M,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kyle,Jackson,47,M,5,4,3,3,0,1,13,0.23076923076923078,8,0.6153846153846154,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
Charlie,Hayes,23,SSDM,5,0,0,0,0,0,1,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Challen,Rogers,23,M,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Graeme,Hossack,81,D,8,0,0,0,0,0,5,0,3,0.6,3,,1,14,5,9,0.35714285714285715,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Nick,Marrocco,1,G,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,121,0.55,104,13.456734657201904,5,0,22258,1,5,0,0,0,0,,9
Chris,Aslanian,57,A,6,6,5,5,0,1,19,0.2631578947368421,12,0.631578947368421,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Liam,Byrnes,21,D,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Randy,Staats,83,A,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ryan,McNamara,88,M,5,5,5,5,0,0,17,0.29411764705882354,8,0.47058823529411764,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
Max,Adler,9,FO,6,3,1,1,0,2,3,0.3333333333333333,2,0.6666666666666666,0,,0,147,67,80,0.4557823129251701,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Lyle,Thompson,4,A,8,29,20,20,0,9,56,0.35714285714285715,41,0.7321428571428571,1,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,1,,0
Daniel,Bucaro,4,M,8,12,9,9,0,3,45,0.2,29,0.6444444444444445,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Sean,Sconone,50,G,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,8,0.380952380952381,16,16,3,0,2880,0,0,0,0,0,0,,1
Warren,Jeffrey,27,D,8,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Andrew,Newbold,33,D,4,0,0,0,0,0,1,0,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Michael,Rexrode,22,D,8,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Dalton,Crossan,11,M,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Joel,White,11,LSM,8,4,2,2,0,2,6,0.3333333333333333,5,0.8333333333333334,2,,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Matthew,Landis,,D,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Zed,Williams,36,A,7,21,19,18,1,1,66,0.2878787878787879,42,0.6363636363636364,4,,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,,0
Chris,Mattes,,FO,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Alex,Ready,15,G,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Aidan,Hynes,47,D,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Michael,Kraus,5,A,4,4,1,1,0,3,11,0.09090909090909091,6,0.5454545454545454,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
Jackson,Place,17,D,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Chase,Fraser,95,A,4,8,7,7,0,1,25,0.28,16,0.64,2,,2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,,0
Simon,Mathias,45,A,2,3,3,3,0,0,12,0.25,6,0.5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Sean,New,7,LSM,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Zach,Currier,77,M,8,20,10,10,0,10,38,0.2631578947368421,23,0.6052631578947368,1,,1,6,1,5,0.16666666666666666,0,0,0,0,0,0,0,0,0,1,3,0,0,,0
Matt,Hubler,4,SSDM,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jake,Bernhardt,83,SSDM,8,1,1,1,0,0,4,0.25,1,0.25,2,,0,0,0,0,0,0,0,0,0,0,0,0,4,3.5,0,0,0,0,,0
Dylan,Maltz,,A,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Max,Tuttle,25,M,2,1,0,0,0,1,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jake,Withers,18,FO,8,3,2,2,0,1,8,0.25,3,0.375,0,,0,193,107,86,0.5544041450777202,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Wes,Berg,14,A,4,6,4,4,0,2,9,0.4444444444444444,6,0.6666666666666666,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0
Patrick,Foley,,D,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Noah,Richard,27,D,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kyle,McClancy,88,M,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matt,DeLuca,1,G,6,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,9.56810631229236,0,0,301,0,0,0,0,0,0,,0
Dan,Eipp,3,M,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Charlie,Cipriano,12,G,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0.285714285714286,6,19.115044247787612,1,0,904,0,0,0,0,0,0,,0
Brian,Karalunas,86,LSM,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Tyler,Dunn,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ben,Reeves,2,A,7,11,8,8,0,3,23,0.34782608695652173,15,0.6521739130434783,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Connor,Kelly,40,M,7,21,11,9,2,8,54,0.2037037037037037,26,0.48148148148148145,14,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,,0
BJ,Grill,8,D,3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ben,McIntosh,90,M,4,3,3,3,0,0,11,0.2727272727272727,8,0.7272727272727273,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,,0
Larken,Kemp,42,LSM,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Joe,Walters,1,M,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Greg,Puskuldjian,92,FO,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Clarke,Petterson,45,A,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Chris,Price,4,D,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Nick,Ossello,13,SSDM,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Brendan,Gleason,,A,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ned,Crotty,22,M,8,6,0,0,0,6,17,0,7,0.4117647058823529,3,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Brent,Adams,8,M,6,4,1,1,0,3,11,0.09090909090909091,6,0.5454545454545454,3,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matt,Gaudet,44,A,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
John,Galloway,15,G,8,1,0,0,0,1,2,0,0,0,2,,0,0,0,0,0,104,0.562162162162162,86,12.309527359475174,5,0,20121,0,0,0,0,0,0,,4
Jesse,King,19,M,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Donny,Moss,80,D,2,1,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Foster,Huggins,,D,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Eli,Salama,3,LSM,1,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
